RUN	linebot.LineBotSimulation	linebotsimulation	1593580628513	 	3.3.1
USER	All Check	1	START	1593580630059	1593580630059
REQUEST	1		healthy	1593580630094	1593580630111	OK	 
REQUEST	1		who are you	1593580630233	1593580630286	OK	 
REQUEST	1		parrot	1593580630393	1593580630397	OK	 
REQUEST	1		send location	1593580630403	1593580630407	OK	 
REQUEST	1		send postback	1593580630416	1593580630419	OK	 
USER	All Check	1	END	1593580630059	1593580630430
USER	All Check	2	START	1593580631882	1593580631882
REQUEST	2		healthy	1593580631883	1593580631898	OK	 
REQUEST	2		who are you	1593580631900	1593580631912	OK	 
REQUEST	2		parrot	1593580631915	1593580631918	OK	 
REQUEST	2		send location	1593580631921	1593580631924	OK	 
REQUEST	2		send postback	1593580631927	1593580631932	OK	 
USER	All Check	2	END	1593580631882	1593580631934
USER	All Check	3	START	1593580633001	1593580633001
REQUEST	3		healthy	1593580633002	1593580633019	OK	 
REQUEST	3		who are you	1593580633021	1593580633035	OK	 
REQUEST	3		parrot	1593580633037	1593580633040	OK	 
REQUEST	3		send location	1593580633042	1593580633046	OK	 
REQUEST	3		send postback	1593580633048	1593580633051	OK	 
USER	All Check	3	END	1593580633001	1593580633052
USER	All Check	4	START	1593580633822	1593580633822
REQUEST	4		healthy	1593580633823	1593580633838	OK	 
REQUEST	4		who are you	1593580633840	1593580633851	OK	 
REQUEST	4		parrot	1593580633853	1593580633856	OK	 
REQUEST	4		send location	1593580633861	1593580633865	OK	 
REQUEST	4		send postback	1593580633868	1593580633870	OK	 
USER	All Check	4	END	1593580633822	1593580633872
USER	All Check	5	START	1593580634474	1593580634474
REQUEST	5		healthy	1593580634475	1593580634490	OK	 
REQUEST	5		who are you	1593580634493	1593580634505	OK	 
REQUEST	5		parrot	1593580634507	1593580634509	OK	 
REQUEST	5		send location	1593580634512	1593580634516	OK	 
REQUEST	5		send postback	1593580634518	1593580634521	OK	 
USER	All Check	5	END	1593580634474	1593580634523
USER	All Check	6	START	1593580635012	1593580635012
REQUEST	6		healthy	1593580635013	1593580635028	OK	 
REQUEST	6		who are you	1593580635030	1593580635054	OK	 
REQUEST	6		parrot	1593580635058	1593580635063	OK	 
REQUEST	6		send location	1593580635066	1593580635070	OK	 
REQUEST	6		send postback	1593580635072	1593580635076	OK	 
USER	All Check	6	END	1593580635012	1593580635077
USER	All Check	7	START	1593580635471	1593580635471
REQUEST	7		healthy	1593580635472	1593580635477	OK	 
REQUEST	7		who are you	1593580635480	1593580635508	OK	 
REQUEST	7		parrot	1593580635510	1593580635514	OK	 
REQUEST	7		send location	1593580635517	1593580635521	OK	 
REQUEST	7		send postback	1593580635524	1593580635527	OK	 
USER	All Check	7	END	1593580635471	1593580635529
USER	All Check	8	START	1593580635882	1593580635882
REQUEST	8		healthy	1593580635883	1593580635887	OK	 
REQUEST	8		who are you	1593580635888	1593580635910	OK	 
