RUN	linebot.LineBotSimulation	linebotsimulation	1593598413548	 	3.3.1
USER	All Check	1	START	1593598415127	1593598415127
REQUEST	1		who are you	1593598415269	1593598415297	OK	 
REQUEST	1		parrot	1593598415413	1593598415415	OK	 
REQUEST	1		send location	1593598415422	1593598415425	OK	 
REQUEST	1		send postback	1593598415439	1593598415442	OK	 
USER	All Check	1	END	1593598415127	1593598415454
USER	All Check	2	START	1593598416736	1593598416736
REQUEST	2		who are you	1593598416739	1593598416758	OK	 
REQUEST	2		parrot	1593598416761	1593598416764	OK	 
REQUEST	2		send location	1593598416768	1593598416771	OK	 
REQUEST	2		send postback	1593598416775	1593598416777	OK	 
USER	All Check	2	END	1593598416736	1593598416778
USER	All Check	3	START	1593598417717	1593598417717
REQUEST	3		who are you	1593598417720	1593598417734	OK	 
REQUEST	3		parrot	1593598417736	1593598417737	OK	 
REQUEST	3		send location	1593598417740	1593598417741	OK	 
REQUEST	3		send postback	1593598417744	1593598417745	OK	 
USER	All Check	3	END	1593598417717	1593598417747
USER	All Check	4	START	1593598418436	1593598418436
REQUEST	4		who are you	1593598418439	1593598418452	OK	 
REQUEST	4		parrot	1593598418454	1593598418456	OK	 
REQUEST	4		send location	1593598418458	1593598418460	OK	 
REQUEST	4		send postback	1593598418464	1593598418465	OK	 
USER	All Check	4	END	1593598418436	1593598418467
USER	All Check	5	START	1593598419005	1593598419005
REQUEST	5		who are you	1593598419016	1593598419028	OK	 
REQUEST	5		parrot	1593598419030	1593598419032	OK	 
REQUEST	5		send location	1593598419035	1593598419036	OK	 
REQUEST	5		send postback	1593598419039	1593598419040	OK	 
USER	All Check	5	END	1593598419005	1593598419042
USER	All Check	6	START	1593598419475	1593598419475
REQUEST	6		who are you	1593598419479	1593598419495	OK	 
REQUEST	6		parrot	1593598419499	1593598419501	OK	 
REQUEST	6		send location	1593598419503	1593598419505	OK	 
REQUEST	6		send postback	1593598419508	1593598419509	OK	 
USER	All Check	6	END	1593598419475	1593598419511
USER	All Check	7	START	1593598419877	1593598419877
REQUEST	7		who are you	1593598419879	1593598419885	OK	 
REQUEST	7		parrot	1593598419888	1593598419889	OK	 
REQUEST	7		send location	1593598419892	1593598419894	OK	 
REQUEST	7		send postback	1593598419897	1593598419900	OK	 
USER	All Check	7	END	1593598419877	1593598419901
USER	All Check	8	START	1593598420226	1593598420226
REQUEST	8		who are you	1593598420229	1593598420233	OK	 
REQUEST	8		parrot	1593598420235	1593598420237	OK	 
REQUEST	8		send location	1593598420239	1593598420241	OK	 
REQUEST	8		send postback	1593598420243	1593598420244	OK	 
USER	All Check	8	END	1593598420226	1593598420246
USER	All Check	9	START	1593598420545	1593598420545
REQUEST	9		who are you	1593598420549	1593598420552	OK	 
REQUEST	9		parrot	1593598420554	1593598420555	OK	 
REQUEST	9		send location	1593598420557	1593598420559	OK	 
REQUEST	9		send postback	1593598420561	1593598420562	OK	 
USER	All Check	9	END	1593598420545	1593598420564
USER	All Check	10	START	1593598420825	1593598420825
REQUEST	10		who are you	1593598420828	1593598420832	OK	 
REQUEST	10		parrot	1593598420836	1593598420838	OK	 
REQUEST	10		send location	1593598420840	1593598420842	OK	 
REQUEST	10		send postback	1593598420844	1593598420846	OK	 
USER	All Check	10	END	1593598420825	1593598420847
USER	All Check	11	START	1593598421087	1593598421087
REQUEST	11		who are you	1593598421090	1593598421093	OK	 
REQUEST	11		parrot	1593598421096	1593598421098	OK	 
REQUEST	11		send location	1593598421100	1593598421102	OK	 
REQUEST	11		send postback	1593598421105	1593598421106	OK	 
USER	All Check	11	END	1593598421087	1593598421108
USER	All Check	12	START	1593598421326	1593598421326
REQUEST	12		who are you	1593598421327	1593598421330	OK	 
REQUEST	12		parrot	1593598421333	1593598421335	OK	 
REQUEST	12		send location	1593598421338	1593598421340	OK	 
REQUEST	12		send postback	1593598421344	1593598421346	OK	 
USER	All Check	12	END	1593598421326	1593598421348
USER	All Check	13	START	1593598421556	1593598421556
REQUEST	13		who are you	1593598421559	1593598421562	OK	 
REQUEST	13		parrot	1593598421565	1593598421566	OK	 
REQUEST	13		send location	1593598421569	1593598421571	OK	 
REQUEST	13		send postback	1593598421574	1593598421575	OK	 
USER	All Check	13	END	1593598421556	1593598421577
USER	All Check	14	START	1593598421756	1593598421756
REQUEST	14		who are you	1593598421758	1593598421761	OK	 
REQUEST	14		parrot	1593598421764	1593598421765	OK	 
REQUEST	14		send location	1593598421768	1593598421770	OK	 
REQUEST	14		send postback	1593598421773	1593598421775	OK	 
USER	All Check	14	END	1593598421756	1593598421777
USER	All Check	15	START	1593598421957	1593598421957
REQUEST	15		who are you	1593598421959	1593598421962	OK	 
REQUEST	15		parrot	1593598421964	1593598421965	OK	 
REQUEST	15		send location	1593598421967	1593598421969	OK	 
REQUEST	15		send postback	1593598421972	1593598421973	OK	 
USER	All Check	15	END	1593598421957	1593598421975
USER	All Check	16	START	1593598422136	1593598422136
REQUEST	16		who are you	1593598422139	1593598422143	OK	 
REQUEST	16		parrot	1593598422147	1593598422149	OK	 
REQUEST	16		send location	1593598422152	1593598422154	OK	 
REQUEST	16		send postback	1593598422157	1593598422159	OK	 
USER	All Check	16	END	1593598422136	1593598422161
USER	All Check	17	START	1593598422307	1593598422307
REQUEST	17		who are you	1593598422309	1593598422312	OK	 
REQUEST	17		parrot	1593598422314	1593598422316	OK	 
REQUEST	17		send location	1593598422317	1593598422320	OK	 
REQUEST	17		send postback	1593598422322	1593598422324	OK	 
USER	All Check	17	END	1593598422307	1593598422326
USER	All Check	18	START	1593598422477	1593598422477
REQUEST	18		who are you	1593598422479	1593598422483	OK	 
REQUEST	18		parrot	1593598422484	1593598422486	OK	 
REQUEST	18		send location	1593598422488	1593598422489	OK	 
REQUEST	18		send postback	1593598422492	1593598422494	OK	 
USER	All Check	18	END	1593598422477	1593598422495
USER	All Check	19	START	1593598422636	1593598422636
REQUEST	19		who are you	1593598422637	1593598422640	OK	 
REQUEST	19		parrot	1593598422642	1593598422644	OK	 
REQUEST	19		send location	1593598422645	1593598422647	OK	 
