RUN	linebot.LineBotSimulation	linebotsimulation	1593597963820	 	3.3.1
USER	All Check	1	START	1593597965451	1593597965451
REQUEST	1		who are you	1593597965617	1593597965645	OK	 
REQUEST	1		parrot	1593597965777	1593597965781	OK	 
REQUEST	1		send location	1593597965787	1593597965791	OK	 
REQUEST	1		send postback	1593597965801	1593597965804	OK	 
USER	All Check	1	END	1593597965451	1593597965814
USER	All Check	2	START	1593597967067	1593597967067
REQUEST	2		who are you	1593597967071	1593597967085	OK	 
REQUEST	2		parrot	1593597967088	1593597967090	OK	 
REQUEST	2		send location	1593597967093	1593597967096	OK	 
REQUEST	2		send postback	1593597967098	1593597967101	OK	 
USER	All Check	2	END	1593597967067	1593597967102
USER	All Check	3	START	1593597968045	1593597968045
REQUEST	3		who are you	1593597968048	1593597968068	OK	 
REQUEST	3		parrot	1593597968071	1593597968074	OK	 
REQUEST	3		send location	1593597968076	1593597968078	OK	 
REQUEST	3		send postback	1593597968081	1593597968083	OK	 
USER	All Check	3	END	1593597968045	1593597968085
USER	All Check	4	START	1593597968756	1593597968756
REQUEST	4		who are you	1593597968759	1593597968775	OK	 
REQUEST	4		parrot	1593597968777	1593597968780	OK	 
REQUEST	4		send location	1593597968783	1593597968785	OK	 
REQUEST	4		send postback	1593597968789	1593597968792	OK	 
USER	All Check	4	END	1593597968756	1593597968794
USER	All Check	5	START	1593597969325	1593597969325
REQUEST	5		who are you	1593597969329	1593597969345	OK	 
REQUEST	5		parrot	1593597969349	1593597969351	OK	 
REQUEST	5		send location	1593597969355	1593597969358	OK	 
REQUEST	5		send postback	1593597969362	1593597969365	OK	 
USER	All Check	5	END	1593597969325	1593597969367
USER	All Check	6	START	1593597969795	1593597969795
REQUEST	6		who are you	1593597969797	1593597969811	OK	 
REQUEST	6		parrot	1593597969815	1593597969818	OK	 
REQUEST	6		send location	1593597969821	1593597969823	OK	 
REQUEST	6		send postback	1593597969826	1593597969829	OK	 
USER	All Check	6	END	1593597969795	1593597969830
USER	All Check	7	START	1593597970195	1593597970195
REQUEST	7		who are you	1593597970198	1593597970203	OK	 
REQUEST	7		parrot	1593597970205	1593597970207	OK	 
REQUEST	7		send location	1593597970210	1593597970211	OK	 
REQUEST	7		send postback	1593597970214	1593597970216	OK	 
USER	All Check	7	END	1593597970195	1593597970217
USER	All Check	8	START	1593597970557	1593597970557
REQUEST	8		who are you	1593597970558	1593597970562	OK	 
REQUEST	8		parrot	1593597970564	1593597970566	OK	 
REQUEST	8		send location	1593597970568	1593597970570	OK	 
REQUEST	8		send postback	1593597970574	1593597970579	OK	 
USER	All Check	8	END	1593597970557	1593597970582
USER	All Check	9	START	1593597970867	1593597970867
REQUEST	9		who are you	1593597970870	1593597970874	OK	 
REQUEST	9		parrot	1593597970876	1593597970879	OK	 
REQUEST	9		send location	1593597970881	1593597970884	OK	 
REQUEST	9		send postback	1593597970887	1593597970890	OK	 
USER	All Check	9	END	1593597970867	1593597970891
USER	All Check	10	START	1593597971156	1593597971156
REQUEST	10		who are you	1593597971159	1593597971163	OK	 
REQUEST	10		parrot	1593597971166	1593597971168	OK	 
REQUEST	10		send location	1593597971170	1593597971173	OK	 
REQUEST	10		send postback	1593597971176	1593597971179	OK	 
USER	All Check	10	END	1593597971156	1593597971180
USER	All Check	11	START	1593597971414	1593597971414
REQUEST	11		who are you	1593597971417	1593597971421	OK	 
REQUEST	11		parrot	1593597971423	1593597971426	OK	 
REQUEST	11		send location	1593597971428	1593597971431	OK	 
REQUEST	11		send postback	1593597971434	1593597971436	OK	 
USER	All Check	11	END	1593597971414	1593597971438
USER	All Check	12	START	1593597971655	1593597971655
REQUEST	12		who are you	1593597971657	1593597971661	OK	 
REQUEST	12		parrot	1593597971664	1593597971667	OK	 
REQUEST	12		send location	1593597971669	1593597971672	OK	 
REQUEST	12		send postback	1593597971676	1593597971678	OK	 
USER	All Check	12	END	1593597971655	1593597971680
USER	All Check	13	START	1593597971874	1593597971874
REQUEST	13		who are you	1593597971876	1593597971880	OK	 
REQUEST	13		parrot	1593597971883	1593597971886	OK	 
REQUEST	13		send location	1593597971889	1593597971891	OK	 
REQUEST	13		send postback	1593597971895	1593597971897	OK	 
USER	All Check	13	END	1593597971874	1593597971899
USER	All Check	14	START	1593597972087	1593597972087
REQUEST	14		who are you	1593597972088	1593597972092	OK	 
REQUEST	14		parrot	1593597972094	1593597972096	OK	 
REQUEST	14		send location	1593597972099	1593597972101	OK	 
REQUEST	14		send postback	1593597972104	1593597972107	OK	 
USER	All Check	14	END	1593597972087	1593597972109
USER	All Check	15	START	1593597972286	1593597972286
REQUEST	15		who are you	1593597972288	1593597972294	OK	 
REQUEST	15		parrot	1593597972297	1593597972300	OK	 
REQUEST	15		send location	1593597972303	1593597972304	OK	 
REQUEST	15		send postback	1593597972307	1593597972310	OK	 
USER	All Check	15	END	1593597972286	1593597972312
USER	All Check	16	START	1593597972465	1593597972465
REQUEST	16		who are you	1593597972467	1593597972470	OK	 
REQUEST	16		parrot	1593597972473	1593597972475	OK	 
REQUEST	16		send location	1593597972477	1593597972479	OK	 
REQUEST	16		send postback	1593597972482	1593597972485	OK	 
USER	All Check	16	END	1593597972465	1593597972486
USER	All Check	17	START	1593597972636	1593597972636
REQUEST	17		who are you	1593597972639	1593597972643	OK	 
REQUEST	17		parrot	1593597972645	1593597972647	OK	 
