RUN	linebot.LineBotSimulation	linebotsimulation	1593594765316	 	3.3.1
USER	All Check	1	START	1593594766912	1593594766912
REQUEST	1		healthy	1593594766958	1593594766985	OK	 
REQUEST	1		who are you	1593594767116	1593594767123	OK	 
REQUEST	1		parrot	1593594767196	1593594767198	OK	 
REQUEST	1		send location	1593594767204	1593594767207	OK	 
REQUEST	1		send postback	1593594767216	1593594767218	OK	 
USER	All Check	1	END	1593594766912	1593594767227
USER	All Check	2	START	1593594768508	1593594768508
REQUEST	2		healthy	1593594768510	1593594768523	OK	 
REQUEST	2		who are you	1593594768526	1593594768528	OK	 
REQUEST	2		parrot	1593594768531	1593594768532	OK	 
REQUEST	2		send location	1593594768535	1593594768537	OK	 
REQUEST	2		send postback	1593594768541	1593594768543	OK	 
USER	All Check	2	END	1593594768508	1593594768546
USER	All Check	3	START	1593594769468	1593594769468
REQUEST	3		healthy	1593594769470	1593594769483	OK	 
REQUEST	3		who are you	1593594769485	1593594769487	OK	 
REQUEST	3		parrot	1593594769490	1593594769493	OK	 
REQUEST	3		send location	1593594769496	1593594769498	OK	 
REQUEST	3		send postback	1593594769500	1593594769501	OK	 
USER	All Check	3	END	1593594769468	1593594769503
USER	All Check	4	START	1593594770167	1593594770167
REQUEST	4		healthy	1593594770168	1593594770182	OK	 
REQUEST	4		who are you	1593594770184	1593594770186	OK	 
REQUEST	4		parrot	1593594770188	1593594770190	OK	 
REQUEST	4		send location	1593594770192	1593594770194	OK	 
REQUEST	4		send postback	1593594770197	1593594770198	OK	 
USER	All Check	4	END	1593594770167	1593594770200
USER	All Check	5	START	1593594770730	1593594770730
REQUEST	5		healthy	1593594770731	1593594770745	OK	 
REQUEST	5		who are you	1593594770747	1593594770749	OK	 
REQUEST	5		parrot	1593594770752	1593594770754	OK	 
REQUEST	5		send location	1593594770758	1593594770759	OK	 
REQUEST	5		send postback	1593594770762	1593594770763	OK	 
USER	All Check	5	END	1593594770730	1593594770765
USER	All Check	6	START	1593594771189	1593594771189
REQUEST	6		healthy	1593594771190	1593594771203	OK	 
REQUEST	6		who are you	1593594771205	1593594771208	OK	 
REQUEST	6		parrot	1593594771211	1593594771212	OK	 
REQUEST	6		send location	1593594771215	1593594771216	OK	 
REQUEST	6		send postback	1593594771219	1593594771221	OK	 
USER	All Check	6	END	1593594771189	1593594771222
USER	All Check	7	START	1593594771589	1593594771589
REQUEST	7		healthy	1593594771592	1593594771596	OK	 
REQUEST	7		who are you	1593594771598	1593594771599	OK	 
REQUEST	7		parrot	1593594771601	1593594771603	OK	 
REQUEST	7		send location	1593594771606	1593594771608	OK	 
REQUEST	7		send postback	1593594771610	1593594771613	OK	 
USER	All Check	7	END	1593594771589	1593594771615
USER	All Check	8	START	1593594771939	1593594771939
REQUEST	8		healthy	1593594771941	1593594771944	OK	 
REQUEST	8		who are you	1593594771946	1593594771947	OK	 
REQUEST	8		parrot	1593594771949	1593594771950	OK	 
REQUEST	8		send location	1593594771953	1593594771954	OK	 
REQUEST	8		send postback	1593594771956	1593594771958	OK	 
USER	All Check	8	END	1593594771939	1593594771960
USER	All Check	9	START	1593594772250	1593594772250
REQUEST	9		healthy	1593594772251	1593594772254	OK	 
REQUEST	9		who are you	1593594772255	1593594772257	OK	 
REQUEST	9		parrot	1593594772261	1593594772266	OK	 
REQUEST	9		send location	1593594772269	1593594772271	OK	 
REQUEST	9		send postback	1593594772276	1593594772277	OK	 
USER	All Check	9	END	1593594772250	1593594772280
USER	All Check	10	START	1593594772528	1593594772528
REQUEST	10		healthy	1593594772530	1593594772532	OK	 
REQUEST	10		who are you	1593594772534	1593594772535	OK	 
REQUEST	10		parrot	1593594772537	1593594772538	OK	 
REQUEST	10		send location	1593594772541	1593594772543	OK	 
REQUEST	10		send postback	1593594772546	1593594772548	OK	 
USER	All Check	10	END	1593594772528	1593594772550
USER	All Check	11	START	1593594772778	1593594772778
REQUEST	11		healthy	1593594772780	1593594772783	OK	 
REQUEST	11		who are you	1593594772785	1593594772790	OK	 
REQUEST	11		parrot	1593594772792	1593594772793	OK	 
REQUEST	11		send location	1593594772795	1593594772796	OK	 
REQUEST	11		send postback	1593594772799	1593594772800	OK	 
USER	All Check	11	END	1593594772778	1593594772801
USER	All Check	12	START	1593594773019	1593594773019
REQUEST	12		healthy	1593594773020	1593594773023	OK	 
REQUEST	12		who are you	1593594773026	1593594773027	OK	 
REQUEST	12		parrot	1593594773029	1593594773030	OK	 
REQUEST	12		send location	1593594773033	1593594773034	OK	 
REQUEST	12		send postback	1593594773037	1593594773038	OK	 
USER	All Check	12	END	1593594773019	1593594773039
USER	All Check	13	START	1593594773237	1593594773237
REQUEST	13		healthy	1593594773238	1593594773242	OK	 
REQUEST	13		who are you	1593594773245	1593594773246	OK	 
REQUEST	13		parrot	1593594773249	1593594773251	OK	 
REQUEST	13		send location	1593594773255	1593594773256	OK	 
REQUEST	13		send postback	1593594773260	1593594773261	OK	 
USER	All Check	13	END	1593594773237	1593594773264
USER	All Check	14	START	1593594773440	1593594773440
REQUEST	14		healthy	1593594773441	1593594773444	OK	 
REQUEST	14		who are you	1593594773446	1593594773447	OK	 
REQUEST	14		parrot	1593594773449	1593594773451	OK	 
REQUEST	14		send location	1593594773453	1593594773454	OK	 
REQUEST	14		send postback	1593594773456	1593594773458	OK	 
USER	All Check	14	END	1593594773440	1593594773459
USER	All Check	15	START	1593594773630	1593594773630
REQUEST	15		healthy	1593594773631	1593594773633	OK	 
REQUEST	15		who are you	1593594773636	1593594773637	OK	 
REQUEST	15		parrot	1593594773639	1593594773640	OK	 
REQUEST	15		send location	1593594773643	1593594773645	OK	 
REQUEST	15		send postback	1593594773648	1593594773649	OK	 
USER	All Check	15	END	1593594773630	1593594773651
USER	All Check	16	START	1593594773808	1593594773808
REQUEST	16		healthy	1593594773809	1593594773812	OK	 
