RUN	linebot.LineBotSimulation	linebotsimulation	1593592739904	 	3.3.1
USER	All Check	1	START	1593592741603	1593592741603
REQUEST	1		healthy	1593592741638	1593592741656	OK	 
REQUEST	1		who are you	1593592741757	1593592741763	OK	 
REQUEST	1		parrot	1593592741840	1593592741843	OK	 
REQUEST	1		send location	1593592741849	1593592741853	OK	 
REQUEST	1		send postback	1593592741861	1593592741863	OK	 
USER	All Check	1	END	1593592741603	1593592741871
USER	All Check	2	START	1593592743201	1593592743201
REQUEST	2		healthy	1593592743202	1593592743220	OK	 
REQUEST	2		who are you	1593592743223	1593592743226	OK	 
REQUEST	2		parrot	1593592743229	1593592743232	OK	 
REQUEST	2		send location	1593592743235	1593592743239	OK	 
REQUEST	2		send postback	1593592743242	1593592743245	OK	 
USER	All Check	2	END	1593592743201	1593592743247
USER	All Check	3	START	1593592744162	1593592744162
REQUEST	3		healthy	1593592744164	1593592744178	OK	 
REQUEST	3		who are you	1593592744180	1593592744183	OK	 
REQUEST	3		parrot	1593592744186	1593592744190	OK	 
REQUEST	3		send location	1593592744195	1593592744198	OK	 
REQUEST	3		send postback	1593592744203	1593592744206	OK	 
USER	All Check	3	END	1593592744162	1593592744208
USER	All Check	4	START	1593592744861	1593592744861
REQUEST	4		healthy	1593592744863	1593592744878	OK	 
REQUEST	4		who are you	1593592744881	1593592744882	OK	 
REQUEST	4		parrot	1593592744885	1593592744887	OK	 
REQUEST	4		send location	1593592744890	1593592744893	OK	 
REQUEST	4		send postback	1593592744897	1593592744899	OK	 
USER	All Check	4	END	1593592744861	1593592744901
USER	All Check	5	START	1593592745421	1593592745421
REQUEST	5		healthy	1593592745422	1593592745436	OK	 
REQUEST	5		who are you	1593592745438	1593592745440	OK	 
REQUEST	5		parrot	1593592745442	1593592745444	OK	 
REQUEST	5		send location	1593592745447	1593592745449	OK	 
REQUEST	5		send postback	1593592745451	1593592745454	OK	 
USER	All Check	5	END	1593592745421	1593592745456
USER	All Check	6	START	1593592745881	1593592745881
REQUEST	6		healthy	1593592745883	1593592745897	OK	 
REQUEST	6		who are you	1593592745899	1593592745901	OK	 
REQUEST	6		parrot	1593592745904	1593592745907	OK	 
REQUEST	6		send location	1593592745910	1593592745914	OK	 
REQUEST	6		send postback	1593592745919	1593592745922	OK	 
USER	All Check	6	END	1593592745881	1593592745924
USER	All Check	7	START	1593592746283	1593592746283
REQUEST	7		healthy	1593592746284	1593592746289	OK	 
REQUEST	7		who are you	1593592746291	1593592746293	OK	 
REQUEST	7		parrot	1593592746296	1593592746299	OK	 
REQUEST	7		send location	1593592746302	1593592746304	OK	 
REQUEST	7		send postback	1593592746306	1593592746308	OK	 
USER	All Check	7	END	1593592746283	1593592746310
USER	All Check	8	START	1593592746632	1593592746632
REQUEST	8		healthy	1593592746633	1593592746636	OK	 
REQUEST	8		who are you	1593592746639	1593592746642	OK	 
REQUEST	8		parrot	1593592746645	1593592746647	OK	 
REQUEST	8		send location	1593592746650	1593592746652	OK	 
REQUEST	8		send postback	1593592746655	1593592746657	OK	 
USER	All Check	8	END	1593592746632	1593592746659
USER	All Check	9	START	1593592746943	1593592746943
REQUEST	9		healthy	1593592746944	1593592746947	OK	 
REQUEST	9		who are you	1593592746949	1593592746951	OK	 
REQUEST	9		parrot	1593592746954	1593592746956	OK	 
REQUEST	9		send location	1593592746958	1593592746960	OK	 
REQUEST	9		send postback	1593592746963	1593592746965	OK	 
USER	All Check	9	END	1593592746943	1593592746966
USER	All Check	10	START	1593592747223	1593592747223
REQUEST	10		healthy	1593592747224	1593592747228	OK	 
REQUEST	10		who are you	1593592747230	1593592747232	OK	 
REQUEST	10		parrot	1593592747234	1593592747236	OK	 
REQUEST	10		send location	1593592747238	1593592747240	OK	 
REQUEST	10		send postback	1593592747243	1593592747245	OK	 
USER	All Check	10	END	1593592747223	1593592747247
USER	All Check	11	START	1593592747473	1593592747473
REQUEST	11		healthy	1593592747475	1593592747479	OK	 
REQUEST	11		who are you	1593592747482	1593592747485	OK	 
REQUEST	11		parrot	1593592747488	1593592747489	OK	 
REQUEST	11		send location	1593592747493	1593592747495	OK	 
REQUEST	11		send postback	1593592747497	1593592747499	OK	 
USER	All Check	11	END	1593592747473	1593592747501
USER	All Check	12	START	1593592747711	1593592747711
REQUEST	12		healthy	1593592747713	1593592747719	OK	 
REQUEST	12		who are you	1593592747721	1593592747722	OK	 
REQUEST	12		parrot	1593592747724	1593592747727	OK	 
REQUEST	12		send location	1593592747730	1593592747733	OK	 
REQUEST	12		send postback	1593592747736	1593592747739	OK	 
USER	All Check	12	END	1593592747711	1593592747740
USER	All Check	13	START	1593592747934	1593592747934
REQUEST	13		healthy	1593592747935	1593592747938	OK	 
REQUEST	13		who are you	1593592747941	1593592747943	OK	 
REQUEST	13		parrot	1593592747945	1593592747947	OK	 
REQUEST	13		send location	1593592747950	1593592747952	OK	 
REQUEST	13		send postback	1593592747955	1593592747956	OK	 
USER	All Check	13	END	1593592747934	1593592747958
USER	All Check	14	START	1593592748132	1593592748132
REQUEST	14		healthy	1593592748133	1593592748136	OK	 
REQUEST	14		who are you	1593592748137	1593592748140	OK	 
REQUEST	14		parrot	1593592748142	1593592748144	OK	 
REQUEST	14		send location	1593592748146	1593592748148	OK	 
REQUEST	14		send postback	1593592748156	1593592748161	OK	 
USER	All Check	14	END	1593592748132	1593592748163
USER	All Check	15	START	1593592748324	1593592748324
REQUEST	15		healthy	1593592748325	1593592748330	OK	 
REQUEST	15		who are you	1593592748332	1593592748335	OK	 
REQUEST	15		parrot	1593592748337	1593592748339	OK	 
REQUEST	15		send location	1593592748341	1593592748343	OK	 
REQUEST	15		send postback	1593592748347	1593592748349	OK	 
USER	All Check	15	END	1593592748324	1593592748350
USER	All Check	16	START	1593592748502	1593592748502
REQUEST	16		healthy	1593592748504	1593592748507	OK	 
REQUEST	16		who are you	1593592748510	1593592748511	OK	 
REQUEST	16		parrot	1593592748514	1593592748516	OK	 
REQUEST	16		send location	1593592748519	1593592748521	OK	 
REQUEST	16		send postback	1593592748523	1593592748526	OK	 
USER	All Check	16	END	1593592748502	1593592748528
USER	All Check	17	START	1593592748671	1593592748671
REQUEST	17		healthy	1593592748672	1593592748675	OK	 
REQUEST	17		who are you	1593592748677	1593592748680	OK	 
REQUEST	17		parrot	1593592748685	1593592748696	OK	 
REQUEST	17		send location	1593592748698	1593592748701	OK	 
REQUEST	17		send postback	1593592748704	1593592748707	OK	 
USER	All Check	17	END	1593592748671	1593592748708
