RUN	linebot.LineBotSimulation	linebotsimulation	1593594115488	 	3.3.1
USER	All Check	1	START	1593594117084	1593594117084
REQUEST	1		healthy	1593594117121	1593594117143	OK	 
REQUEST	1		who are you	1593594117277	1593594117315	OK	 
REQUEST	1		parrot	1593594117407	1593594117412	OK	 
REQUEST	1		send location	1593594117419	1593594117424	OK	 
REQUEST	1		send postback	1593594117436	1593594117441	OK	 
USER	All Check	1	END	1593594117084	1593594117455
USER	All Check	2	START	1593594118681	1593594118681
REQUEST	2		healthy	1593594118682	1593594118697	OK	 
REQUEST	2		who are you	1593594118700	1593594118722	OK	 
REQUEST	2		parrot	1593594118724	1593594118731	OK	 
REQUEST	2		send location	1593594118735	1593594118741	OK	 
REQUEST	2		send postback	1593594118745	1593594118756	OK	 
USER	All Check	2	END	1593594118681	1593594118759
USER	All Check	3	START	1593594119640	1593594119640
REQUEST	3		healthy	1593594119642	1593594119658	OK	 
REQUEST	3		who are you	1593594119660	1593594119674	OK	 
REQUEST	3		parrot	1593594119676	1593594119680	OK	 
REQUEST	3		send location	1593594119682	1593594119688	OK	 
REQUEST	3		send postback	1593594119691	1593594119695	OK	 
USER	All Check	3	END	1593594119640	1593594119696
USER	All Check	4	START	1593594120351	1593594120351
REQUEST	4		healthy	1593594120353	1593594120369	OK	 
REQUEST	4		who are you	1593594120371	1593594120384	OK	 
REQUEST	4		parrot	1593594120386	1593594120390	OK	 
REQUEST	4		send location	1593594120392	1593594120398	OK	 
REQUEST	4		send postback	1593594120401	1593594120405	OK	 
USER	All Check	4	END	1593594120351	1593594120407
USER	All Check	5	START	1593594120902	1593594120902
REQUEST	5		healthy	1593594120903	1593594120917	OK	 
REQUEST	5		who are you	1593594120919	1593594120932	OK	 
REQUEST	5		parrot	1593594120934	1593594120937	OK	 
REQUEST	5		send location	1593594120939	1593594120944	OK	 
REQUEST	5		send postback	1593594120947	1593594120951	OK	 
USER	All Check	5	END	1593594120902	1593594120953
USER	All Check	6	START	1593594121373	1593594121373
REQUEST	6		healthy	1593594121374	1593594121388	OK	 
REQUEST	6		who are you	1593594121390	1593594121412	OK	 
REQUEST	6		parrot	1593594121415	1593594121420	OK	 
REQUEST	6		send location	1593594121422	1593594121426	OK	 
REQUEST	6		send postback	1593594121437	1593594121441	OK	 
USER	All Check	6	END	1593594121373	1593594121443
USER	All Check	7	START	1593594121763	1593594121763
REQUEST	7		healthy	1593594121765	1593594121773	OK	 
REQUEST	7		who are you	1593594121776	1593594121794	OK	 
REQUEST	7		parrot	1593594121798	1593594121804	OK	 
REQUEST	7		send location	1593594121807	1593594121812	OK	 
REQUEST	7		send postback	1593594121818	1593594121822	OK	 
USER	All Check	7	END	1593594121763	1593594121824
USER	All Check	8	START	1593594122111	1593594122111
REQUEST	8		healthy	1593594122112	1593594122116	OK	 
REQUEST	8		who are you	1593594122120	1593594122147	OK	 
REQUEST	8		parrot	1593594122150	1593594122156	OK	 
REQUEST	8		send location	1593594122159	1593594122164	OK	 
REQUEST	8		send postback	1593594122167	1593594122176	OK	 
USER	All Check	8	END	1593594122111	1593594122178
USER	All Check	9	START	1593594122422	1593594122422
REQUEST	9		healthy	1593594122423	1593594122426	OK	 
REQUEST	9		who are you	1593594122429	1593594122433	OK	 
REQUEST	9		parrot	1593594122436	1593594122439	OK	 
REQUEST	9		send location	1593594122442	1593594122446	OK	 
REQUEST	9		send postback	1593594122450	1593594122453	OK	 
USER	All Check	9	END	1593594122422	1593594122455
USER	All Check	10	START	1593594122701	1593594122701
REQUEST	10		healthy	1593594122702	1593594122706	OK	 
REQUEST	10		who are you	1593594122708	1593594122712	OK	 
REQUEST	10		parrot	1593594122715	1593594122720	OK	 
REQUEST	10		send location	1593594122723	1593594122728	OK	 
REQUEST	10		send postback	1593594122731	1593594122739	OK	 
USER	All Check	10	END	1593594122701	1593594122741
USER	All Check	11	START	1593594122963	1593594122963
REQUEST	11		healthy	1593594122965	1593594122970	OK	 
REQUEST	11		who are you	1593594122973	1593594122978	OK	 
REQUEST	11		parrot	1593594122980	1593594122985	OK	 
REQUEST	11		send location	1593594122988	1593594122992	OK	 
REQUEST	11		send postback	1593594122995	1593594123000	OK	 
USER	All Check	11	END	1593594122963	1593594123002
USER	All Check	12	START	1593594123191	1593594123191
REQUEST	12		healthy	1593594123192	1593594123196	OK	 
REQUEST	12		who are you	1593594123199	1593594123206	OK	 
REQUEST	12		parrot	1593594123208	1593594123214	OK	 
REQUEST	12		send location	1593594123217	1593594123225	OK	 
REQUEST	12		send postback	1593594123227	1593594123231	OK	 
USER	All Check	12	END	1593594123191	1593594123233
USER	All Check	13	START	1593594123413	1593594123413
REQUEST	13		healthy	1593594123414	1593594123418	OK	 
REQUEST	13		who are you	1593594123420	1593594123423	OK	 
REQUEST	13		parrot	1593594123425	1593594123427	OK	 
REQUEST	13		send location	1593594123429	1593594123433	OK	 
REQUEST	13		send postback	1593594123435	1593594123438	OK	 
USER	All Check	13	END	1593594123413	1593594123440
USER	All Check	14	START	1593594123612	1593594123612
REQUEST	14		healthy	1593594123613	1593594123617	OK	 
REQUEST	14		who are you	1593594123625	1593594123629	OK	 
REQUEST	14		parrot	1593594123631	1593594123635	OK	 
REQUEST	14		send location	1593594123638	1593594123642	OK	 
REQUEST	14		send postback	1593594123645	1593594123649	OK	 
USER	All Check	14	END	1593594123612	1593594123650
USER	All Check	15	START	1593594123803	1593594123803
REQUEST	15		healthy	1593594123804	1593594123808	OK	 
REQUEST	15		who are you	1593594123810	1593594123814	OK	 
REQUEST	15		parrot	1593594123815	1593594123822	OK	 
REQUEST	15		send location	1593594123824	1593594123828	OK	 
REQUEST	15		send postback	1593594123832	1593594123838	OK	 
USER	All Check	15	END	1593594123803	1593594123840
USER	All Check	16	START	1593594123981	1593594123981
REQUEST	16		healthy	1593594123982	1593594123986	OK	 
REQUEST	16		who are you	1593594123988	1593594123991	OK	 
REQUEST	16		parrot	1593594123993	1593594123996	OK	 
REQUEST	16		send location	1593594123999	1593594124005	OK	 
REQUEST	16		send postback	1593594124009	1593594124013	OK	 
USER	All Check	16	END	1593594123981	1593594124015
USER	All Check	17	START	1593594124160	1593594124160
REQUEST	17		healthy	1593594124161	1593594124166	OK	 
REQUEST	17		who are you	1593594124169	1593594124174	OK	 
REQUEST	17		parrot	1593594124177	1593594124181	OK	 
REQUEST	17		send location	1593594124186	1593594124190	OK	 
REQUEST	17		send postback	1593594124193	1593594124196	OK	 
USER	All Check	17	END	1593594124160	1593594124198
USER	All Check	18	START	1593594124321	1593594124321
REQUEST	18		healthy	1593594124322	1593594124325	OK	 
REQUEST	18		who are you	1593594124328	1593594124332	OK	 
REQUEST	18		parrot	1593594124336	1593594124340	OK	 
REQUEST	18		send location	1593594124343	1593594124348	OK	 
REQUEST	18		send postback	1593594124352	1593594124356	OK	 
USER	All Check	18	END	1593594124321	1593594124358
USER	All Check	19	START	1593594124473	1593594124473
REQUEST	19		healthy	1593594124474	1593594124477	OK	 
REQUEST	19		who are you	1593594124479	1593594124483	OK	 
REQUEST	19		parrot	1593594124486	1593594124489	OK	 
REQUEST	19		send location	1593594124491	1593594124495	OK	 
REQUEST	19		send postback	1593594124496	1593594124501	OK	 
USER	All Check	19	END	1593594124473	1593594124502
USER	All Check	20	START	1593594124622	1593594124622
REQUEST	20		healthy	1593594124623	1593594124626	OK	 
REQUEST	20		who are you	1593594124628	1593594124631	OK	 
REQUEST	20		parrot	1593594124634	1593594124639	OK	 
REQUEST	20		send location	1593594124641	1593594124644	OK	 
REQUEST	20		send postback	1593594124647	1593594124651	OK	 
USER	All Check	20	END	1593594124622	1593594124656
USER	All Check	21	START	1593594124763	1593594124763
REQUEST	21		healthy	1593594124764	1593594124770	OK	 
REQUEST	21		who are you	1593594124773	1593594124776	OK	 
REQUEST	21		parrot	1593594124778	1593594124781	OK	 
REQUEST	21		send location	1593594124783	1593594124788	OK	 
REQUEST	21		send postback	1593594124790	1593594124793	OK	 
USER	All Check	21	END	1593594124763	1593594124794
USER	All Check	22	START	1593594124890	1593594124890
REQUEST	22		healthy	1593594124891	1593594124894	OK	 
REQUEST	22		who are you	1593594124896	1593594124899	OK	 
REQUEST	22		parrot	1593594124901	1593594124905	OK	 
REQUEST	22		send location	1593594124907	1593594124911	OK	 
REQUEST	22		send postback	1593594124913	1593594124916	OK	 
USER	All Check	22	END	1593594124890	1593594124917
USER	All Check	23	START	1593594125021	1593594125021
REQUEST	23		healthy	1593594125022	1593594125024	OK	 
REQUEST	23		who are you	1593594125026	1593594125028	OK	 
REQUEST	23		parrot	1593594125029	1593594125032	OK	 
REQUEST	23		send location	1593594125035	1593594125037	OK	 
REQUEST	23		send postback	1593594125039	1593594125041	OK	 
USER	All Check	23	END	1593594125021	1593594125042
USER	All Check	24	START	1593594125142	1593594125142
REQUEST	24		healthy	1593594125143	1593594125146	OK	 
REQUEST	24		who are you	1593594125149	1593594125159	OK	 
REQUEST	24		parrot	1593594125161	1593594125166	OK	 
REQUEST	24		send location	1593594125169	1593594125173	OK	 
REQUEST	24		send postback	1593594125175	1593594125178	OK	 
USER	All Check	24	END	1593594125142	1593594125180
USER	All Check	25	START	1593594125262	1593594125262
REQUEST	25		healthy	1593594125263	1593594125267	OK	 
REQUEST	25		who are you	1593594125269	1593594125272	OK	 
REQUEST	25		parrot	1593594125274	1593594125277	OK	 
REQUEST	25		send location	1593594125279	1593594125283	OK	 
REQUEST	25		send postback	1593594125285	1593594125288	OK	 
USER	All Check	25	END	1593594125262	1593594125290
USER	All Check	26	START	1593594125381	1593594125381
REQUEST	26		healthy	1593594125381	1593594125387	OK	 
REQUEST	26		who are you	1593594125389	1593594125392	OK	 
REQUEST	26		parrot	1593594125394	1593594125397	OK	 
REQUEST	26		send location	1593594125400	1593594125404	OK	 
REQUEST	26		send postback	1593594125406	1593594125409	OK	 
USER	All Check	26	END	1593594125381	1593594125410
USER	All Check	27	START	1593594125491	1593594125491
REQUEST	27		healthy	1593594125492	1593594125494	OK	 
REQUEST	27		who are you	1593594125496	1593594125499	OK	 
REQUEST	27		parrot	1593594125502	1593594125506	OK	 
REQUEST	27		send location	1593594125508	1593594125512	OK	 
REQUEST	27		send postback	1593594125514	1593594125517	OK	 
USER	All Check	27	END	1593594125491	1593594125518
USER	All Check	28	START	1593594125602	1593594125602
REQUEST	28		healthy	1593594125604	1593594125608	OK	 
REQUEST	28		who are you	1593594125610	1593594125613	OK	 
REQUEST	28		parrot	1593594125616	1593594125619	OK	 
REQUEST	28		send location	1593594125622	1593594125625	OK	 
REQUEST	28		send postback	1593594125628	1593594125631	OK	 
USER	All Check	28	END	1593594125602	1593594125633
USER	All Check	29	START	1593594125702	1593594125702
REQUEST	29		healthy	1593594125703	1593594125706	OK	 
REQUEST	29		who are you	1593594125708	1593594125710	OK	 
REQUEST	29		parrot	1593594125712	1593594125714	OK	 
REQUEST	29		send location	1593594125716	1593594125719	OK	 
REQUEST	29		send postback	1593594125721	1593594125724	OK	 
USER	All Check	29	END	1593594125702	1593594125725
USER	All Check	30	START	1593594125802	1593594125802
REQUEST	30		healthy	1593594125803	1593594125805	OK	 
REQUEST	30		who are you	1593594125807	1593594125809	OK	 
REQUEST	30		parrot	1593594125811	1593594125814	OK	 
REQUEST	30		send location	1593594125816	1593594125820	OK	 
REQUEST	30		send postback	1593594125822	1593594125825	OK	 
USER	All Check	30	END	1593594125802	1593594125826
USER	All Check	31	START	1593594125900	1593594125900
REQUEST	31		healthy	1593594125901	1593594125904	OK	 
REQUEST	31		who are you	1593594125905	1593594125908	OK	 
REQUEST	31		parrot	1593594125910	1593594125913	OK	 
REQUEST	31		send location	1593594125915	1593594125919	OK	 
REQUEST	31		send postback	1593594125922	1593594125924	OK	 
USER	All Check	31	END	1593594125900	1593594125925
USER	All Check	32	START	1593594126000	1593594126000
REQUEST	32		healthy	1593594126001	1593594126005	OK	 
REQUEST	32		who are you	1593594126007	1593594126009	OK	 
REQUEST	32		parrot	1593594126011	1593594126013	OK	 
REQUEST	32		send location	1593594126015	1593594126022	OK	 
REQUEST	32		send postback	1593594126024	1593594126030	OK	 
USER	All Check	32	END	1593594126000	1593594126033
USER	All Check	33	START	1593594126091	1593594126091
REQUEST	33		healthy	1593594126092	1593594126096	OK	 
REQUEST	33		who are you	1593594126098	1593594126101	OK	 
REQUEST	33		parrot	1593594126103	1593594126107	OK	 
REQUEST	33		send location	1593594126109	1593594126112	OK	 
REQUEST	33		send postback	1593594126115	1593594126119	OK	 
USER	All Check	33	END	1593594126091	1593594126120
USER	All Check	34	START	1593594126181	1593594126181
REQUEST	34		healthy	1593594126182	1593594126190	OK	 
REQUEST	34		who are you	1593594126193	1593594126196	OK	 
REQUEST	34		parrot	1593594126197	1593594126201	OK	 
REQUEST	34		send location	1593594126204	1593594126209	OK	 
REQUEST	34		send postback	1593594126211	1593594126214	OK	 
USER	All Check	34	END	1593594126181	1593594126214
USER	All Check	35	START	1593594126270	1593594126270
REQUEST	35		healthy	1593594126271	1593594126273	OK	 
REQUEST	35		who are you	1593594126275	1593594126277	OK	 
REQUEST	35		parrot	1593594126278	1593594126281	OK	 
REQUEST	35		send location	1593594126283	1593594126287	OK	 
REQUEST	35		send postback	1593594126288	1593594126292	OK	 
USER	All Check	35	END	1593594126270	1593594126293
USER	All Check	36	START	1593594126352	1593594126352
REQUEST	36		healthy	1593594126353	1593594126356	OK	 
REQUEST	36		who are you	1593594126358	1593594126360	OK	 
REQUEST	36		parrot	1593594126361	1593594126364	OK	 
REQUEST	36		send location	1593594126366	1593594126369	OK	 
REQUEST	36		send postback	1593594126371	1593594126373	OK	 
USER	All Check	36	END	1593594126352	1593594126375
USER	All Check	37	START	1593594126442	1593594126442
REQUEST	37		healthy	1593594126443	1593594126447	OK	 
REQUEST	37		who are you	1593594126448	1593594126451	OK	 
REQUEST	37		parrot	1593594126453	1593594126455	OK	 
REQUEST	37		send location	1593594126458	1593594126461	OK	 
REQUEST	37		send postback	1593594126463	1593594126466	OK	 
USER	All Check	37	END	1593594126442	1593594126468
USER	All Check	38	START	1593594126522	1593594126522
REQUEST	38		healthy	1593594126523	1593594126527	OK	 
REQUEST	38		who are you	1593594126528	1593594126530	OK	 
REQUEST	38		parrot	1593594126531	1593594126534	OK	 
REQUEST	38		send location	1593594126536	1593594126538	OK	 
REQUEST	38		send postback	1593594126540	1593594126542	OK	 
USER	All Check	38	END	1593594126522	1593594126543
USER	All Check	39	START	1593594126601	1593594126601
REQUEST	39		healthy	1593594126602	1593594126605	OK	 
REQUEST	39		who are you	1593594126607	1593594126611	OK	 
REQUEST	39		parrot	1593594126613	1593594126617	OK	 
REQUEST	39		send location	1593594126620	1593594126624	OK	 
REQUEST	39		send postback	1593594126626	1593594126630	OK	 
USER	All Check	39	END	1593594126601	1593594126632
USER	All Check	40	START	1593594126681	1593594126681
REQUEST	40		healthy	1593594126682	1593594126686	OK	 
REQUEST	40		who are you	1593594126687	1593594126690	OK	 
REQUEST	40		parrot	1593594126691	1593594126694	OK	 
REQUEST	40		send location	1593594126697	1593594126701	OK	 
REQUEST	40		send postback	1593594126706	1593594126710	OK	 
USER	All Check	40	END	1593594126681	1593594126712
USER	All Check	41	START	1593594126751	1593594126751
REQUEST	41		healthy	1593594126751	1593594126755	OK	 
REQUEST	41		who are you	1593594126757	1593594126761	OK	 
REQUEST	41		parrot	1593594126763	1593594126767	OK	 
REQUEST	41		send location	1593594126769	1593594126772	OK	 
REQUEST	41		send postback	1593594126773	1593594126776	OK	 
USER	All Check	41	END	1593594126751	1593594126777
USER	All Check	42	START	1593594126831	1593594126831
REQUEST	42		healthy	1593594126832	1593594126837	OK	 
REQUEST	42		who are you	1593594126838	1593594126841	OK	 
REQUEST	42		parrot	1593594126842	1593594126845	OK	 
REQUEST	42		send location	1593594126846	1593594126850	OK	 
REQUEST	42		send postback	1593594126852	1593594126855	OK	 
