RUN	linebot.LineBotSimulation	linebotsimulation	1593599003853	 	3.3.1
USER	All Check	1	START	1593599005581	1593599005581
REQUEST	1		who are you	1593599005725	1593599005748	OK	 
REQUEST	1		parrot	1593599005851	1593599005857	OK	 
REQUEST	1		send location	1593599005864	1593599005866	OK	 
REQUEST	1		send postback	1593599005874	1593599005875	OK	 
USER	All Check	1	END	1593599005581	1593599005883
USER	All Check	2	START	1593599007239	1593599007239
REQUEST	2		who are you	1593599007244	1593599007267	OK	 
REQUEST	2		parrot	1593599007270	1593599007271	OK	 
REQUEST	2		send location	1593599007274	1593599007276	OK	 
REQUEST	2		send postback	1593599007279	1593599007281	OK	 
USER	All Check	2	END	1593599007239	1593599007282
USER	All Check	3	START	1593599008250	1593599008250
REQUEST	3		who are you	1593599008257	1593599008271	OK	 
REQUEST	3		parrot	1593599008275	1593599008277	OK	 
REQUEST	3		send location	1593599008281	1593599008283	OK	 
REQUEST	3		send postback	1593599008287	1593599008288	OK	 
USER	All Check	3	END	1593599008250	1593599008290
USER	All Check	4	START	1593599008979	1593599008979
REQUEST	4		who are you	1593599008982	1593599008996	OK	 
REQUEST	4		parrot	1593599008999	1593599009001	OK	 
REQUEST	4		send location	1593599009005	1593599009007	OK	 
REQUEST	4		send postback	1593599009013	1593599009015	OK	 
USER	All Check	4	END	1593599008979	1593599009017
USER	All Check	5	START	1593599009569	1593599009569
REQUEST	5		who are you	1593599009572	1593599009586	OK	 
REQUEST	5		parrot	1593599009588	1593599009589	OK	 
REQUEST	5		send location	1593599009592	1593599009593	OK	 
REQUEST	5		send postback	1593599009597	1593599009598	OK	 
USER	All Check	5	END	1593599009569	1593599009599
USER	All Check	6	START	1593599010049	1593599010049
REQUEST	6		who are you	1593599010053	1593599010068	OK	 
REQUEST	6		parrot	1593599010070	1593599010072	OK	 
REQUEST	6		send location	1593599010074	1593599010075	OK	 
REQUEST	6		send postback	1593599010078	1593599010079	OK	 
USER	All Check	6	END	1593599010049	1593599010080
USER	All Check	7	START	1593599010469	1593599010469
REQUEST	7		who are you	1593599010473	1593599010477	OK	 
REQUEST	7		parrot	1593599010479	1593599010481	OK	 
REQUEST	7		send location	1593599010483	1593599010485	OK	 
REQUEST	7		send postback	1593599010487	1593599010488	OK	 
USER	All Check	7	END	1593599010469	1593599010489
USER	All Check	8	START	1593599010832	1593599010832
REQUEST	8		who are you	1593599010835	1593599010838	OK	 
REQUEST	8		parrot	1593599010841	1593599010842	OK	 
REQUEST	8		send location	1593599010844	1593599010846	OK	 
REQUEST	8		send postback	1593599010848	1593599010849	OK	 
USER	All Check	8	END	1593599010832	1593599010851
USER	All Check	9	START	1593599011160	1593599011160
REQUEST	9		who are you	1593599011163	1593599011166	OK	 
REQUEST	9		parrot	1593599011169	1593599011170	OK	 
REQUEST	9		send location	1593599011173	1593599011174	OK	 
REQUEST	9		send postback	1593599011177	1593599011178	OK	 
USER	All Check	9	END	1593599011160	1593599011179
USER	All Check	10	START	1593599011450	1593599011450
REQUEST	10		who are you	1593599011453	1593599011456	OK	 
REQUEST	10		parrot	1593599011458	1593599011459	OK	 
REQUEST	10		send location	1593599011461	1593599011463	OK	 
REQUEST	10		send postback	1593599011465	1593599011467	OK	 
USER	All Check	10	END	1593599011450	1593599011469
USER	All Check	11	START	1593599011719	1593599011719
REQUEST	11		who are you	1593599011721	1593599011724	OK	 
REQUEST	11		parrot	1593599011727	1593599011729	OK	 
REQUEST	11		send location	1593599011731	1593599011732	OK	 
REQUEST	11		send postback	1593599011736	1593599011737	OK	 
USER	All Check	11	END	1593599011719	1593599011739
USER	All Check	12	START	1593599011970	1593599011970
REQUEST	12		who are you	1593599011972	1593599011975	OK	 
REQUEST	12		parrot	1593599011977	1593599011979	OK	 
REQUEST	12		send location	1593599011981	1593599011982	OK	 
REQUEST	12		send postback	1593599011985	1593599011986	OK	 
USER	All Check	12	END	1593599011970	1593599011988
USER	All Check	13	START	1593599012200	1593599012200
REQUEST	13		who are you	1593599012203	1593599012206	OK	 
REQUEST	13		parrot	1593599012209	1593599012211	OK	 
REQUEST	13		send location	1593599012213	1593599012214	OK	 
REQUEST	13		send postback	1593599012217	1593599012218	OK	 
USER	All Check	13	END	1593599012200	1593599012220
USER	All Check	14	START	1593599012411	1593599012411
REQUEST	14		who are you	1593599012413	1593599012415	OK	 
REQUEST	14		parrot	1593599012417	1593599012419	OK	 
REQUEST	14		send location	1593599012421	1593599012422	OK	 
REQUEST	14		send postback	1593599012424	1593599012425	OK	 
USER	All Check	14	END	1593599012411	1593599012426
USER	All Check	15	START	1593599012589	1593599012589
REQUEST	15		who are you	1593599012592	1593599012595	OK	 
REQUEST	15		parrot	1593599012598	1593599012599	OK	 
REQUEST	15		send location	1593599012601	1593599012603	OK	 
REQUEST	15		send postback	1593599012605	1593599012607	OK	 
USER	All Check	15	END	1593599012589	1593599012608
USER	All Check	16	START	1593599012801	1593599012801
REQUEST	16		who are you	1593599012804	1593599012806	OK	 
REQUEST	16		parrot	1593599012809	1593599012810	OK	 
REQUEST	16		send location	1593599012814	1593599012816	OK	 
REQUEST	16		send postback	1593599012819	1593599012821	OK	 
USER	All Check	16	END	1593599012801	1593599012823
USER	All Check	17	START	1593599012982	1593599012982
REQUEST	17		who are you	1593599012985	1593599012988	OK	 
REQUEST	17		parrot	1593599012990	1593599012991	OK	 
REQUEST	17		send location	1593599012993	1593599012994	OK	 
REQUEST	17		send postback	1593599012996	1593599012997	OK	 
USER	All Check	17	END	1593599012982	1593599012998
USER	All Check	18	START	1593599013152	1593599013152
REQUEST	18		who are you	1593599013155	1593599013158	OK	 
REQUEST	18		parrot	1593599013161	1593599013164	OK	 
REQUEST	18		send location	1593599013166	1593599013168	OK	 
REQUEST	18		send postback	1593599013171	1593599013172	OK	 
USER	All Check	18	END	1593599013152	1593599013173
